Year,BL,regime,Escapement,Run.Size,Spawners,RS,lnRS,prevYearRunSize,prev_tot_PWS_return,PWS_released_Total,sameYrcomp_regional,sameYrcompetitors,egoa.win.sst,egoa.spr.sst,wgoa.win.sst,wgoa.spr.sst,PDOann,NPGOann,pCO2_PWS,pCO2_nGoA,pH_PWS,pH_nGoA,mean_pCO2,mean_pH,mean_NGAO
1960,even,upto1988,3.872483,5.714379,NA,NA,NA,NA,NA,0,29.0417052,1.774780425,0.789263831,0.761344705,0.473504604,0.724611868,0.0575,0.747739953,NA,NA,NA,NA,NA,NA,NA
1961,odd,upto1988,6.304415,8.602633,NA,NA,NA,5.714379,5.714379,0,30.94982859,1.525586181,0.88094636,0.259646116,0.448479144,0.246299324,-0.8175,0.970684513,NA,NA,NA,NA,NA,NA,NA
1962,even,upto1988,5.785579,12.527895,3.872483,3.23510652,1.174061917,8.602633,8.602633,0,32.99030884,1.547422466,0.630517323,0.980613692,0.003858577,0.882383431,-1.158333333,-0.093424126,NA,NA,NA,NA,NA,NA,NA
1963,odd,upto1988,3.886869,9.182247,6.304415,1.456478833,0.376021771,12.527895,12.527895,0,30.25888581,1.461742343,0.348728783,0.541715544,-0.160819205,0.105336594,-0.685833333,-0.234721502,NA,NA,NA,NA,NA,NA,NA
1964,even,upto1988,5.280046,9.486942,5.785579,1.639756712,0.494547849,9.182247,9.182247,0,34.44016122,1.758203554,1.206791277,1.175111323,0.387766491,0.371111225,-0.77,0.544102425,NA,NA,NA,NA,NA,NA,NA
1965,odd,upto1988,2.798039,5.25851,3.886869,1.352890977,0.302243697,9.486942,9.486942,0,24.03214545,1.454717845,0.772380364,-0.535210695,0.847135473,-0.351724672,-0.314166667,-0.837212701,NA,NA,NA,NA,NA,NA,NA
1966,even,upto1988,4.080189,6.779607,5.280046,1.284005291,0.249984383,5.25851,5.25851,0,35.47671453,1.592745233,-0.714649737,-1.030852435,-0.713495928,-0.819322033,-0.459166667,-0.956356193,NA,NA,NA,NA,NA,NA,NA
1967,odd,upto1988,2.414736,5.041076,2.798039,1.801646081,0.588700787,6.779607,6.779607,0,31.19010551,1.393271672,0.02213676,-0.423429634,-0.113348903,-0.581710014,-0.734166667,-0.699724801,NA,NA,NA,NA,NA,NA,NA
1968,even,upto1988,3.315682,5.76785,4.080189,1.413623241,0.346156088,5.041076,5.041076,0,44.61068432,1.445918709,-0.20115399,0.233481886,-0.280423283,0.244566142,-0.403333333,-0.850601763,NA,NA,NA,NA,NA,NA,NA
1969,odd,upto1988,1.159891,5.98847,2.414736,2.479968825,0.9082459,5.76785,5.76785,0,25.3574845,1.116727172,0.090972421,0.134827893,0.081532865,0.324639299,-0.098333333,-0.387628509,NA,NA,NA,NA,NA,NA,NA
1970,even,upto1988,2.807397,5.617393,3.315682,1.69418931,0.527204203,5.98847,5.98847,0,40.5598113,1.578038364,-1.14135932,-0.691949159,-0.722076744,-0.474296635,-0.3975,0.061043154,NA,NA,NA,NA,NA,NA,NA
1971,odd,upto1988,3.18965,10.500614,1.159891,9.053104128,2.203107671,5.617393,5.617393,0,53.80269281,1.401571896,0.526417044,0.164496873,0.737687798,0.287468797,-1.290833333,0.381984271,NA,NA,NA,NA,NA,NA,NA
1972,even,upto1988,1.838245,1.893028,2.807397,0.674300072,-0.394079763,10.500614,10.500614,0,41.29372721,1.442255486,-0.44654565,-1.225689464,-0.094868955,-1.438698569,-0.921666667,-0.659303726,NA,NA,NA,NA,NA,NA,NA
1973,odd,upto1988,3.51207,10.823034,3.18965,3.393172919,1.221765372,1.893028,1.893028,0,47.09543306,1.59319153,-1.264183772,-0.778205328,-1.313422833,-1.460863452,-0.804166667,0.126585564,NA,NA,NA,NA,NA,NA,NA
1974,even,upto1988,2.746904,2.801687,1.838245,1.524109681,0.421410081,10.823034,10.823034,0,37.42661773,1.531543217,-0.605272087,-0.354324404,-0.652301518,-0.457626145,-0.336666667,-0.009310217,NA,NA,NA,NA,NA,NA,NA
1975,odd,upto1988,3.628326,5.685204,3.51207,1.618761585,0.481661361,2.801687,2.801687,0,23.29795724,1.374736695,-0.832641969,-0.311483794,-0.562654254,-0.339383,-1.101666667,0.798500537,NA,NA,NA,NA,NA,NA,NA
