Year,Run.Year,Brood.Line,Escapement,Run.Size,Harvest,RperS,Spawners,RS,lnRS,prevYearRunSize,prevYearEscapement,PWS_pink_harvests,prev_PWS_pink_harvests.x,prev_PWS_pink_harvests.y,prev_Run.Size,prev_tot_PWS_return,prev_tot_return_scaled,prev_Run.Size_scaled,prev_tot_return_av,prev_Run.Size_av,sameYrNEPacific,prevYrNEPacific,sameYrAK,prevYrAK,sameYrOtherPinks,prevYrOtherPinks,releaseUnited.States,prev_release_United.States,PWS_released_Total,PWS_released_prev_Total,sameYrcomp_regional,prevYrcomp_regional,av_comp_regional,sameYr_sockeye_regional,sameYrcompetitors,sameYrallspecies,egoa.win.sst,egoa.spr.sst,wgoa.win.sst,wgoa.spr.sst,egoa.win.sst_sameYr,egoa.spr.sst_sameYr,wgoa.win.sst_sameYr,wgoa.spr.sst_sameYr,SST_win_GoA,SST_spr_GoA,SST_sum_GoA,SST_win_GoA_prev,SST_spr_GoA_prev,SST_sum_GoA_prev,SST_win_nGoA,SST_spr_nGoA,SST_sum_nGoA,SST_win_nGoA_prev,SST_spr_nGoA_prev,SST_sum_nGoA_prev,SST_win_eGoA,SST_spr_eGoA,SST_sum_eGoA,SST_win_eGoA_prev,SST_spr_eGoA_prev,SST_sum_eGoA_prev,SST_win_PWS,SST_spr_PWS,SST_sum_PWS,SST_win_PWS_prev,SST_spr_PWS_prev,SST_sum_PWS_prev,pCO2_PWS,pCO2_nGoA,pCO2_wGoA,pH_PWS,pH_nGoA,pH_wGoA,aragon_PWS,aragon_nGoA,aragon_wGoA,mean_pCO2,mean_NGAO,mean_pH,mean_arag,ALV,PDOsum,PDOann,PDOsum_prev,PDOann_prev,NPGOsum,NPGOann,NPGOsum_prev,NPGOann_prev,BL,regime
1960,1960,Even,3.872483,5.714379,1.841896,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,188.6993624,363.8872804,39176.56158,41928.63672,30765.92044,35092.5097,0.0324,0.684233,0,0,29.0417052,31.27126948,30.15648734,16.1005122,1.774780425,2080.946731,0.789263831,0.761344705,0.473504604,0.724611868,0.88094636,0.259646116,0.448479144,0.246299324,7.098,17.831,33.063,7.058,18.855,34.037,-5.517,15.272,30.533,-8.944,17.535,31.666,-14.276,11.419,29.372,-17.641,12.591,30.221,-11.959,10.4,25.558,-14.399,11.131,25.815,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,337.36,-0.003333333,0.0575,NA,NA,0.486747137,0.747739953,-0.424687157,-0.203461008,even,upto1988
1961,1961,Odd,6.304415,8.602633,2.298218,NA,NA,NA,NA,5.714379,3.872483,NA,NA,0,5.714379,5.714379,0.296101683,0.296101683,0.296101683,0.296101683,320.8471034,188.6993624,68461.54918,39176.56158,51001.26236,30765.92044,0.832086,0.0324,0,0,30.94982859,29.0417052,29.99576689,19.27015303,1.525586181,2005.347191,0.88094636,0.259646116,0.448479144,0.246299324,0.630517323,0.980613692,0.003858577,0.882383431,6.799,18.074,33.029,7.098,17.831,33.063,-9.505,15.339,30.018,-5.517,15.272,30.533,-15.789,11.08,28.398,-14.276,11.419,29.372,-12.647,8.624,25.084,-11.959,10.4,25.558,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,345.1,-0.986666667,-0.8175,-0.003333333,0.0575,1.113063267,0.970684513,0.486747137,0.747739953,odd,upto1988
1962,1962,Even,5.785579,12.527895,6.742316,3.235106721,3.872483,3.23510652,1.174061917,8.602633,6.304415,NA,NA,0,8.602633,8.602633,0.445762192,0.445762192,0.370931938,0.370931938,261.1302102,320.8471034,82344.3814,68461.54918,65214.71065,51001.26236,0,0.832086,0,0,32.99030884,30.94982859,31.97006871,18.10720677,1.547422466,1947.979627,0.630517323,0.980613692,0.003858577,0.882383431,0.348728783,0.541715544,-0.160819205,0.105336594,7.024,17.766,34.164,6.799,18.074,33.029,-7.981,15.059,31.84,-9.505,15.339,30.018,-12.267,11.576,30.981,-15.789,11.08,28.398,-13.679,8.416,26.37,-12.647,8.624,25.084,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,368.16,-1.186666667,-1.158333333,-0.986666667,-0.8175,-0.245723319,-0.093424126,1.113063267,0.970684513,even,upto1988
1963,1963,Odd,3.886869,9.182247,5.295378,1.456478843,6.304415,1.456478833,0.376021771,12.527895,5.785579,NA,NA,0,12.527895,12.527895,0.649157291,0.649157291,0.463673722,0.463673722,356.0677383,261.1302102,72787.55347,82344.3814,56992.49385,65214.71065,1.540505,0,0,0,30.25888581,32.99030884,31.62459732,17.77449287,1.461742343,1998.765799,0.348728783,0.541715544,-0.160819205,0.105336594,1.206791277,1.175111323,0.387766491,0.371111225,9.076,18.008,35.278,7.024,17.766,34.164,-4.758,13.166,33.355,-7.981,15.059,31.84,-9.072,8.262,31.956,-12.267,11.576,30.981,-9.471,8.075,27.869,-13.679,8.416,26.37,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,373.1,-0.97,-0.685833333,-1.186666667,-1.158333333,-0.405845533,-0.234721502,-0.245723319,-0.093424126,odd,upto1988
1964,1964,Even,5.280046,9.486942,4.206896,1.639756654,5.785579,1.639756712,0.494547849,9.182247,3.886869,NA,NA,0,9.182247,9.182247,0.475796021,0.475796021,0.466704297,0.466704297,224.2390281,356.0677383,96540.42128,72787.55347,81863.41,56992.49385,0,1.540505,0,0,34.44016122,30.25888581,32.34952352,16.83170593,1.758203554,2097.348339,1.206791277,1.175111323,0.387766491,0.371111225,0.772380364,-0.535210695,0.847135473,-0.351724672,6.237,16.528,31.669,9.076,18.008,35.278,-9.215,13.295,30.543,-4.758,13.166,33.355,-18.679,10.229,30.165,-9.072,8.262,31.956,-13.809,5.925,24.192,-9.471,8.075,27.869,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,364.78,-0.62,-0.77,-0.97,-0.685833333,1.089984583,0.544102425,-0.405845533,-0.234721502,even,upto1988
1965,1965,Odd,2.798039,5.25851,2.460471,1.352890882,3.886869,1.352890977,0.302243697,9.486942,5.280046,NA,NA,0,9.486942,9.486942,0.491584386,0.491584386,0.471680315,0.471680315,312.9514926,224.2390281,47265.04385,96540.42128,39093.88199,81863.41,3.118065,0,0,0,24.03214545,34.44016122,29.23615333,15.11554832,1.454717845,1930.239071,0.772380364,-0.535210695,0.847135473,-0.351724672,-0.714649737,-1.030852435,-0.713495928,-0.819322033,5.644,15.691,32.623,6.237,16.528,31.669,-7.294,11.218,31.027,-9.215,13.295,30.543,-16.818,8.694,29.954,-18.679,10.229,30.165,-13.798,5.19,25.398,-13.809,5.925,24.192,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,347.38,-0.356666667,-0.314166667,-0.62,-0.77,-0.65548186,-0.837212701,1.089984583,0.544102425,odd,upto1988
1966,1966,Even,4.080189,6.779607,2.699418,1.284005364,5.280046,1.284005291,0.249984383,5.25851,2.798039,NA,NA,0,5.25851,5.25851,0.272479942,0.272479942,0.466955967,0.466955967,273.0109161,312.9514926,104119.8892,47265.04385,92406.56108,39093.88199,0,3.118065,0,0,35.47671453,24.03214545,29.75442999,18.99259822,1.592745233,1980.956083,-0.714649737,-1.030852435,-0.713495928,-0.819322033,0.02213676,-0.423429634,-0.113348903,-0.581710014,5.795,16.466,32.204,5.644,15.691,32.623,-9.261,13.646,30.494,-7.294,11.218,31.027,-14.885,10.36,29.255,-16.818,8.694,29.954,-16.549,7.718,25.355,-13.798,5.19,25.398,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,430.48,0.023333333,-0.459166667,-0.356666667,-0.314166667,-1.118509127,-0.956356193,-0.65548186,-0.837212701,even,upto1988
1967,1967,Odd,2.414736,5.041076,2.62634,1.801646173,2.798039,1.801646081,0.588700787,6.779607,4.080189,NA,NA,0,6.779607,6.779607,0.351298547,0.351298547,0.448063238,0.448063238,282.0052532,273.0109161,25911.41132,104119.8892,15978.60807,92406.56108,0.420958,0,0,0,31.19010551,35.47671453,33.33341002,19.80591857,1.393271672,1814.160502,0.02213676,-0.423429634,-0.113348903,-0.581710014,-0.20115399,0.233481886,-0.280423283,0.244566142,5.694,17.404,34.021,5.795,16.466,32.204,-8.572,11.971,29.866,-9.261,13.646,30.494,-14.973,11.284,29.718,-14.885,10.36,29.255,-16.196,5.524,22.383,-16.549,7.718,25.355,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,441,-1.096666667,-0.734166667,0.023333333,-0.459166667,-1.059811953,-0.699724801,-1.118509127,-0.956356193,odd,upto1988
1968,1968,Even,3.315682,5.76785,2.452168,1.413623248,4.080189,1.413623241,0.346156088,5.041076,2.414736,NA,NA,0,5.041076,5.041076,0.261213176,0.261213176,0.370474415,0.370474415,259.5531054,282.0052532,86362.35171,25911.41132,77593.77685,15978.60807,0,0.420958,0,0,44.61068432,31.19010551,37.90039491,26.15460808,1.445918709,1822.706518,-0.20115399,0.233481886,-0.280423283,0.244566142,0.090972421,0.134827893,0.081532865,0.324639299,6.45,17.903,33.811,5.694,17.404,34.021,-8.099,14.128,31.792,-8.572,11.971,29.866,-12.523,12.71,31.007,-14.973,11.284,29.718,-12.948,5.568,23.909,-16.196,5.524,22.383,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,416.62,0.123333333,-0.403333333,-1.096666667,-0.734166667,-1.006382673,-0.850601763,-1.059811953,-0.699724801,even,upto1988
1969,1969,Odd,1.159891,5.98847,4.828579,2.479968603,2.414736,2.479968825,0.9082459,5.76785,3.315682,NA,NA,0,5.76785,5.76785,0.298872387,0.298872387,0.335089688,0.335089688,359.2902477,259.5531054,61446.60754,86362.35171,50177.80115,77593.77685,0.60282,0,0,0,25.3574845,44.61068432,34.98408441,15.99638859,1.116727172,1662.782267,0.090972421,0.134827893,0.081532865,0.324639299,-1.14135932,-0.691949159,-0.722076744,-0.474296635,5.767,16.284,33.286,6.45,17.903,33.811,-7.496,12.826,30.965,-8.099,14.128,31.792,-11.516,11.467,29.963,-12.523,12.71,31.007,-15.394,8.157,21.014,-12.948,5.568,23.909,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,410.4,0.06,-0.098333333,0.123333333,-0.403333333,-0.57957761,-0.387628509,-1.006382673,-0.850601763,odd,upto1988
